name,prestige_raw,prestige_scaled,instagram_followers,appearance_count,prestige_percentile,rfm,gender
model_05564,0.000553,553.47733,,269,95.070591,17.935484,female
model_09932,0.00055,549.851174,37400.0,406,95.058626,11.605634,male
model_00035,0.000549,549.342763,,205,95.046662,15.145299,female
model_07005,0.000547,546.863414,7400.0,324,95.034697,3.661017,male
model_07956,0.000547,546.563297,11100.0,250,95.022733,17.639344,female
model_02925,0.000546,545.88204,8600000.0,679,95.010768,14.62069,female
model_09239,0.000546,545.798277,16400.0,215,94.998804,16.333333,female
model_06425,0.000545,545.372335,,193,94.986839,16.0,female
model_06766,0.00054,539.709907,,152,94.974874,10.074074,female
model_04851,0.00054,539.592565,9900.0,299,94.96291,,unknown
model_00175,0.000536,536.45061,17600.0,235,94.950945,15.82906,female
model_05618,0.000536,535.789873,,320,94.938981,17.935484,female
model_08705,0.000532,532.416082,,425,94.927016,,unknown
model_03423,0.000532,532.306126,,201,94.915051,18.295082,female
